Rk,Name,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
235,Ehire Adrianza#,34,LAA,0.1,8,28,26,4,5,1,0,1,2,0,0,2,11,0.192,0.25,0.346,0.596,67,0.255,58,9,1,0,0,0,0,/54H,,adriaeh01
236,Nick Allen,25,OAK,0.2,41,105,97,6,17,4,0,1,4,0,0,5,20,0.175,0.216,0.247,0.463,35,0.215,33,24,0,0,3,0,0,6/5H4,,allenni02
237,Jon Berti,34,NYY,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,0.273,0.342,0.318,0.661,90,0.334,108,21,2,1,1,0,0,5/H47D,,bertijo01
238,Trey Cabbage*,27,HOU,-0.1,45,91,86,12,18,8,0,1,8,1,1,4,34,0.209,0.253,0.337,0.59,68,0.255,63,29,1,1,0,0,0,9H7/D,,cabbatr01
239,Gustavo Campero#,26,LAA,-0.1,13,48,46,6,11,0,1,1,6,3,0,0,8,0.239,0.271,0.348,0.619,74,0.305,83,16,0,2,0,0,0,9/7H,,campegu01
240,Jonatan Clase#,22,2TM,-0.1,26,66,61,7,15,2,0,1,5,3,1,3,17,0.246,0.303,0.328,0.631,86,0.299,94,20,1,2,0,0,0,7/8HD,,clasejo01
240,Jonatan Clase#,22,SEA,-0.2,19,43,41,4,8,1,0,0,3,3,0,2,14,0.195,0.233,0.22,0.452,36,0.221,32,9,1,0,0,0,0,7/H8D,,clasejo01
240,Jonatan Clase#,22,TOR,0.2,7,23,20,3,7,1,0,1,2,0,1,1,3,0.35,0.435,0.55,0.985,180,0.443,210,11,0,2,0,0,0,/8H,,clasejo01
241,Bobby Dalbec,29,BOS,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16,0.196,4,16,1,1,1,0,0,35/H9D,,dalbebo01
242,Zach DeLoach*,25,CHW,-0.1,22,75,67,10,14,5,0,1,5,0,1,8,21,0.209,0.293,0.328,0.622,79,0.28,84,22,0,0,0,0,0,9/7H8D,,deloaza01
243,Dillon Dingler,25,DET,-0.3,27,87,84,2,14,5,2,1,11,0,0,3,30,0.167,0.195,0.31,0.505,41,0.217,31,26,2,0,0,0,0,2,,dingldi01
244,Logan Driscoll*,26,TBR,-0.1,15,37,35,2,6,0,0,1,5,0,0,1,6,0.171,0.189,0.257,0.446,27,0.186,11,9,0,0,0,1,0,2,,drisclo01
245,Dominic Fletcher*,26,CHW,-0.4,72,241,223,14,46,8,0,1,17,0,0,11,58,0.206,0.252,0.256,0.508,47,0.225,38,57,5,3,2,1,1,98/H7,,fletcdo01
246,Ben Gamel*,32,HOU,0.1,20,69,58,13,15,3,0,1,4,0,0,11,17,0.259,0.377,0.362,0.739,115,0.328,113,21,0,0,0,0,1,9/7H,,gamelbe01
247,Dustin Harris*,24,TEX,0.2,2,7,6,1,2,1,0,1,3,0,0,1,2,0.333,0.429,1,1.429,294,0.568,285,6,0,0,0,0,0,/D,,harridu01
248,Darell Hernaiz,22,OAK,-0.8,48,135,120,8,23,3,0,1,12,1,1,11,27,0.192,0.261,0.242,0.503,48,0.235,51,29,4,1,1,2,0,56/H4,,hernada04
249,Aaron Hicks#,34,LAA,-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,0.14,0.222,0.193,0.415,20,0.196,15,11,1,0,0,0,0,/9DH781,,hicksaa01
250,Travis Jankowski*,33,TEX,0.3,104,207,190,19,38,5,0,1,12,11,1,12,44,0.2,0.266,0.242,0.508,48,0.256,54,46,3,5,0,0,0,9H7D8,,jankotr01
251,Jahmai Jones,26,NYY,0,33,47,42,8,10,1,1,1,4,1,1,2,16,0.238,0.304,0.381,0.685,93,0.293,89,16,0,2,1,0,0,H/9D745,,jonesja08
252,DaShawn Keirsey*,27,MIN,0,6,14,13,1,2,0,0,1,1,0,0,0,1,0.154,0.214,0.385,0.599,64,0.254,55,5,0,1,0,0,0,/87,,keirsda01
253,Buddy Kennedy,25,DET,0.2,6,13,10,2,2,0,0,1,4,1,0,2,4,0.2,0.308,0.5,0.808,125,0.35,114,5,0,0,0,1,0,/4H5,,kennebu01
254,Andrew Knizner,29,TEX,-0.9,35,93,90,5,15,1,0,1,9,0,0,1,22,0.167,0.183,0.211,0.394,13,0.183,9,19,2,1,0,1,0,2/1D,,kniznan01
255,Ryan Kreidler,26,DET,-0.5,35,65,59,9,7,0,0,1,2,5,3,6,19,0.119,0.2,0.169,0.369,7,0.17,1,10,2,0,0,0,0,6/5H78D,,kreidry01
256,Ramón Laureano,29,CLE,0,31,83,70,7,10,3,0,1,4,3,1,7,32,0.143,0.265,0.229,0.494,43,0.248,52,16,1,5,0,1,0,98/H,,laurera01
257,Nick Loftin,25,KCR,0.2,56,171,148,15,28,4,0,1,14,1,0,19,24,0.189,0.282,0.236,0.519,49,0.258,56,35,4,1,1,2,0,45H/3D71,,loftini01
258,Jack López,31,LAA,0,27,71,67,4,17,3,0,1,6,0,1,2,25,0.254,0.286,0.343,0.629,78,0.289,87,23,2,1,1,0,0,4/6H9,,lopezja03
259,Nicky Lopez*,29,CHW,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,0.241,0.312,0.294,0.606,76,0.282,83,117,3,4,6,0,0,46/H,,lopezni01
260,Nathan Lukes*,29,TOR,1.1,22,91,76,13,23,4,2,1,10,1,0,10,9,0.303,0.371,0.447,0.818,133,0.355,130,34,1,0,2,3,0,7/98HD,,lukesna01
261,Bligh Madris*,28,DET,0.1,21,75,67,8,18,3,0,1,5,0,0,6,20,0.269,0.324,0.358,0.683,95,0.298,89,24,0,0,0,1,0,3/9H,,madribl01
262,Austin Martin,25,MIN,-1,93,257,233,41,59,18,1,1,16,7,3,20,47,0.253,0.318,0.352,0.67,89,0.299,87,82,4,2,2,0,0,78H4/D,,martiau01
263,Curtis Mead,23,TBR,-0.5,38,132,122,10,29,3,0,1,7,2,0,6,30,0.238,0.282,0.287,0.569,65,0.259,61,35,2,2,0,1,0,45/DH3,,meadcu01
264,Ryan Noda*,28,OAK,-0.6,36,111,95,8,13,4,0,1,4,0,0,14,37,0.137,0.255,0.211,0.465,38,0.222,40,20,0,1,1,0,0,3/H9D,,nodary01
265,Kyren Paris,22,LAA,-0.3,21,59,51,4,6,2,0,1,5,1,0,7,17,0.118,0.224,0.216,0.44,26,0.225,32,11,1,0,0,0,0,4/H6D,,parisky01
266,Oswald Peraza,24,NYY,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,0.2,0.273,0.5,0.773,113,0.329,110,5,0,0,0,0,0,/5,,perazos02
267,Harold Ramírez,29,TBR,0.1,48,169,164,21,44,3,0,1,13,5,2,3,33,0.268,0.284,0.305,0.589,70,0.267,69,50,2,1,0,1,0,D/H97,,ramirha02
268,Austin Shenton*,26,TBR,0.1,19,50,42,3,9,5,0,1,3,0,0,8,14,0.214,0.34,0.405,0.745,114,0.329,114,17,1,0,0,0,0,3/HD,,shentau01
269,Braden Shewmake*,26,CHW,-0.6,29,67,64,4,8,2,0,1,4,5,1,1,10,0.125,0.134,0.203,0.337,-5,0.154,-19,13,0,0,0,2,0,6/54HD,,shewmbr01
270,Austin Slater,31,BAL,0.5,33,79,69,10,17,3,0,1,6,1,1,8,23,0.246,0.342,0.333,0.675,100,0.311,109,23,2,2,0,0,0,79H/8,,slateau01
